dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,xgboost,rfe,0.75,0.44360672652721406,2214.3837939453124,0.027629052671423574,0.441263884305954,47.02044868469238,0.0668741965199069,0.9272049193199746,0.08067872834003534,1.0811440850198915
Bike Sharing,xgboost,rfe,1.0,0.3879422527551651,1799.3897143554686,0.022699615617357415,0.3826281279325485,42.388852005004885,0.0,0.9211408830200162,0.07997333458005411,1.0073520820799649
Bike Sharing,xgboost,shap,0.05,1.3614022135734558,16497.50048828125,0.023493161635990144,1.3613012433052063,128.43951416015625,12.67001783725027,0.6925253034996786,0.06016646999978542,13.42763161674975
Bike Sharing,xgboost,shap,0.15,1.2170640230178833,13360.076416015625,0.023014647751359203,1.2165282368659973,115.5837345123291,12.67001783725027,0.8255534060008358,0.059337313500691324,13.560065597500397
Bike Sharing,xgboost,shap,0.25,0.9088546168804169,8857.182724609374,0.0690728185926855,0.9033622145652771,94.07145202636718,25.381737382080036,0.8450525388200413,0.07328081709993053,26.30588768703995
Bike Sharing,xgboost,shap,0.5,0.41124210476875306,2569.773916015625,0.025057348870161766,0.4079509824514389,50.655165939331056,25.381737382080036,0.7691164790999528,0.07636908840002885,26.23324929090006
Bike Sharing,xgboost,shap,0.75,0.3836055499315262,1827.9333227539062,0.022595886061315112,0.38302209973335266,42.722377700805666,25.381737382080036,0.7466294952600174,0.07635642723997985,26.21052384542007
Bike Sharing,xgboost,shap,1.0,0.3879422527551651,1799.3897143554686,0.022699615617357415,0.3826281279325485,42.388852005004885,0.0,0.9211408830200162,0.07997333458005411,1.0073520820799649
Bike Sharing,xgboost,tree,0.05,1.3614022135734558,16497.50048828125,0.023493161635990144,1.3613012433052063,128.43951416015625,1.5772780212491853,1.0017623432504479,0.08730790325080302,2.675318432000495
Bike Sharing,xgboost,tree,0.15,0.9823196232318878,11996.33251953125,0.10197714596545453,1.021852433681488,109.52266883850098,1.5772780212491853,0.9635994107502484,0.07265018550151578,2.618784999998752
Bike Sharing,xgboost,tree,0.25,0.5889043176174164,7252.288173828125,0.06433940816068265,0.5742048025131226,85.07789642333984,2.590051072900005,0.9572839798800351,0.07927980115992335,3.6339071968999495
Bike Sharing,xgboost,tree,0.5,0.41728298604488373,2524.716083984375,0.021779194135656803,0.41774494946002955,50.215883560180664,2.590051072900005,0.9106663142999923,0.07877132669997076,3.58629387614008
Bike Sharing,xgboost,tree,0.75,0.3845669877529144,1822.3848095703124,0.022668035177878215,0.38321752846241,42.654917831420896,2.590051072900005,0.8860897629800002,0.07961568328003063,3.562166125980066
Bike Sharing,xgboost,tree,1.0,0.3879422527551651,1799.3897143554686,0.022699615617357415,0.3826281279325485,42.388852005004885,0.0,0.9211408830200162,0.07997333458005411,1.0073520820799649
Communities and Crime,extratrees,mi,0.05,1903919031165.4253,0.021355934777036276,709455718522.2771,1788565970369.2747,0.14612646199462642,1.0098229532504774,0.4436464074997275,0.15169141600108554,1.605472508251296
Communities and Crime,extratrees,mi,0.15,1908323083395.5327,0.0191951433687772,654884102145.1426,1824706920630.208,0.13852165651667428,1.0098229532504774,0.7708056655001201,0.13397794024967874,1.9148629910005184
Communities and Crime,extratrees,mi,0.25,1966059996021.6755,0.018596710505440917,2215578528810.184,1153057291531.002,0.1359729877306523,1.4083974578999914,0.8086356354400186,0.09986628064001701,2.3172623360399665
Communities and Crime,extratrees,mi,0.5,1965092740503.724,0.01813530929382785,2271078714401.804,1151359954987.9907,0.13426863716743426,1.4083974578999914,1.0955804179799906,0.07991203244001094,2.5842502830999865
Communities and Crime,extratrees,mi,0.75,2001043460041.7168,0.018050692163541417,2349530724966.5635,1120242118366.7732,0.1339727660420542,1.4083974578999914,1.463966876360032,0.09416047443995008,2.9668882837600083
Communities and Crime,extratrees,mi,1.0,1972006105399.058,0.018210769168678347,2251735824265.0894,1113452772194.8137,0.13456629925736613,0.0,1.910637714359982,0.10247548408001872,2.0134757618599632
Communities and Crime,extratrees,rfe,0.05,2118777367667.7332,0.022753828290750726,906368355480.8893,2150465964836.1138,0.15078035488778962,0.7007182209990788,0.5115178612495583,0.14500686225073875,1.3574965887491999
Communities and Crime,extratrees,rfe,0.15,1897200222462.234,0.019592018780293527,734583584156.11,1971518525895.4685,0.139953286310445,0.7007182209990788,0.7516506957508682,0.1751844182499553,1.6277994597494398
Communities and Crime,extratrees,rfe,0.25,1856705128788.3445,0.01876900967378011,2045676867298.5085,1118544781823.7876,0.13661424227668606,0.8653683602000501,0.8360294134399783,0.09334990976004515,1.7951264497200146
