dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
Communities and Crime,ridge,tree,0.75,1,42,0.9,100,71,71,55|49|8|7|73|54|45|95|29|16|10|76|20|33|79|120|74|77|22|97|81|30|31|67|83|94|92|53|91|93|39|64|19|40|41|60|37|58|65|27|82|5|118|80|23|99|56|125|71|11|72|70|34|21|38|98|119|44|6|28|9|36|18|100|24|87|26|13|47|86|75
Communities and Crime,ridge,tree,1.0,1,42,0.9,100,71,100,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,1,42,0.9,100,71,25,49|90|7|13|65|18|33|54|78|35|75|61|44|11|21|41|25|46|71|42|76|100|53|47|95
Communities and Crime,ridge,shap,0.5,1,42,0.9,100,71,50,49|90|7|13|65|18|33|54|78|35|75|61|44|11|21|41|25|46|71|42|76|100|53|47|95|59|68|82|37|39|92|83|57|23|22|56|17|74|28|97|8|98|40|93|19|84|81|79|15|70
Communities and Crime,ridge,shap,0.75,1,42,0.9,100,71,71,49|90|7|13|65|18|33|54|78|35|75|61|44|11|21|41|25|46|71|42|76|100|53|47|95|59|68|82|37|39|92|83|57|23|22|56|17|74|28|97|8|98|40|93|19|84|81|79|15|70|77|94|16|99|91|6|73|125|55|119|120|80|31|27|30|9|118|20|10|29|38
Communities and Crime,ridge,shap,1.0,1,42,0.9,100,71,100,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,2,42,0.9,100,72,25,49|55|8|54|45|20|33|73|22|7|72|82|37|76|24|74|34|15|10|27|79|60|13|67|42
Communities and Crime,ridge,mi,0.5,2,42,0.9,100,72,50,49|55|8|54|45|20|33|73|22|7|72|82|37|76|24|74|34|15|10|27|79|60|13|67|42|77|95|30|94|65|41|91|88|75|38|28|83|29|44|31|56|119|18|64|98|71|70|125|93|23
Communities and Crime,ridge,mi,0.75,2,42,0.9,100,72,72,49|55|8|54|45|20|33|73|22|7|72|82|37|76|24|74|34|15|10|27|79|60|13|67|42|77|95|30|94|65|41|91|88|75|38|28|83|29|44|31|56|119|18|64|98|71|70|125|93|23|26|19|6|57|99|16|97|14|11|86|53|118|47|92|120|81|100|80|40|39|52|9
Communities and Crime,ridge,mi,1.0,2,42,0.9,100,72,100,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
