dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Bike Sharing,ridge,mi,0.25,4,42,3.252014196195764,22487.199248772355,149.95732475865375,4.2241886619999605,0.0081634429998302,0.0001195949998873,4.2324841439999545
Bike Sharing,ridge,mi,0.5,4,42,3.6289444936976185,19988.90025036716,141.38210724970526,4.2241886619999605,0.0079045529998893,0.0001183330000458,4.232220354999754
Bike Sharing,ridge,mi,0.75,4,42,3.6353295233399896,19956.12145604968,141.26613697574405,4.2241886619999605,0.001067095000053,8.207499990930955e-05,4.225345736000008
Bike Sharing,ridge,mi,1.0,4,42,3.6129520191338704,19877.24281898905,140.98667603354954,0.0,0.0016051700001753,0.0001427290001174,0.0017601729998659
Bike Sharing,ridge,rfe,0.25,4,42,3.7300790653134737,21795.2556824024,147.63216344144794,0.1174816500001725,0.0011207360000753,9.24940000004426e-05,0.1187103400002342
Bike Sharing,ridge,rfe,0.5,4,42,3.621162212969915,19886.34241211769,141.01894345128846,0.1174816500001725,0.011353174000078,0.0001041170000917,0.1289494510003805
Bike Sharing,ridge,rfe,0.75,4,42,3.60326094849459,19873.30389697665,140.97270621285756,0.1174816500001725,0.016205545000048,0.0001331910000317,0.1338284120001844
Bike Sharing,ridge,rfe,1.0,4,42,3.6129520191338704,19877.24281898905,140.98667603354954,0.0,0.0016051700001753,0.0001427290001174,0.0017601729998659
Bike Sharing,ridge,tree,0.25,4,42,3.53056390149734,24056.830278370777,155.10264433068437,4.29686521199983,0.0009984350001559,8.704400011083635e-05,4.29796214299995
Bike Sharing,ridge,tree,0.5,4,42,3.5806299260797507,20211.33721213473,142.16658261396992,4.29686521199983,0.0009833760000219,8.420900007877208e-05,4.297941533999847
Bike Sharing,ridge,tree,0.75,4,42,3.6105339693790777,19907.76397541258,141.09487579431288,4.29686521199983,0.0010087749999456,8.273599996755365e-05,4.2979631249997965
Bike Sharing,ridge,tree,1.0,4,42,3.6129520191338704,19877.24281898905,140.98667603354954,0.0,0.0016051700001753,0.0001427290001174,0.0017601729998659
Bike Sharing,ridge,shap,0.25,4,42,3.7300790653134737,21795.2556824024,147.63216344144794,0.0094635469999957,0.0009821539999848,8.460000003651658e-05,0.0105397390000234
Bike Sharing,ridge,shap,0.5,4,42,3.621162212969915,19886.34241211769,141.01894345128846,0.0094635469999957,0.0008905309998681,8.162400013134175e-05,0.010441584000091
Bike Sharing,ridge,shap,0.75,4,42,3.613334816381555,19874.58903440238,140.97726424641095,0.0094635469999957,0.0010846669999864,8.544100001017796e-05,0.0106429539998771
Bike Sharing,ridge,shap,1.0,4,42,3.6129520191338704,19877.24281898905,140.98667603354954,0.0,0.0016051700001753,0.0001427290001174,0.0017601729998659
Bike Sharing,ridge,mi,0.25,5,42,3.124641390040158,22709.944736660436,150.69819088715178,3.89294555399988,0.0010826440000073,7.80580000991904e-05,3.894120461999819
Bike Sharing,ridge,mi,0.5,5,42,3.1789758325917283,20332.14702069673,142.590837786643,3.89294555399988,0.0058307079998485,8.696499980942463e-05,3.898868616000073
Bike Sharing,ridge,mi,0.75,5,42,3.1629790351820875,20299.59462217905,142.47664588338347,3.89294555399988,0.0008382630001051,6.779799991818436e-05,3.893857053999909
Bike Sharing,ridge,mi,1.0,5,42,3.156246365542336,20343.857748656967,142.63189597231388,0.0,0.0052791169998727,9.081200005311985e-05,0.005379486000038
Bike Sharing,ridge,rfe,0.25,5,42,3.2829820778430827,22077.001070823877,148.58331356792348,0.1324764859998595,0.0008879569998043,7.573300013064e-05,0.1334505649997481
Bike Sharing,ridge,rfe,0.5,5,42,3.192316044893648,20376.669585291776,142.746872418599,0.1324764859998595,0.0007934079999358,6.994199998189288e-05,0.1333446049998201
Bike Sharing,ridge,rfe,0.75,5,42,3.1558940488954184,20372.063625919174,142.73073819580412,0.1324764859998595,0.001192852000031,9.389699994244438e-05,0.1337746059998608
Bike Sharing,ridge,rfe,1.0,5,42,3.156246365542336,20343.857748656967,142.63189597231388,0.0,0.0052791169998727,9.081200005311985e-05,0.005379486000038
Bike Sharing,ridge,tree,0.25,5,42,3.293644798615487,24087.19061658577,155.20048523308736,3.884863560999975,0.0009583400001247,8.670400006849377e-05,3.8859207460000103
Bike Sharing,ridge,tree,0.5,5,42,3.224689589720782,20773.44061392621,144.12994350212662,3.884863560999975,0.0171461200000067,0.0001476289999118,3.9021637920000094
Bike Sharing,ridge,tree,0.75,5,42,3.180527087840937,20342.847393583656,142.62835410108207,3.884863560999975,0.0039227659999596,7.099399999788147e-05,3.88886413399996
Bike Sharing,ridge,tree,1.0,5,42,3.156246365542336,20343.857748656967,142.63189597231388,0.0,0.0052791169998727,9.081200005311985e-05,0.005379486000038
Bike Sharing,ridge,shap,0.25,5,42,3.282982077843083,22077.001070823877,148.58331356792348,0.0218935829998372,0.0047204920001604,8.627300007901795e-05,0.0267138929998509
Bike Sharing,ridge,shap,0.5,5,42,3.174114706690964,20413.742901717345,142.8766702499654,0.0218935829998372,0.0008665459999974,7.11440000031871e-05,0.0228423539999766
Bike Sharing,ridge,shap,0.75,5,42,3.1701864478833097,20348.53287156925,142.64828380169615,0.0218935829998372,0.0122460690001844,0.0001291339999625,0.0342808489997423
Bike Sharing,ridge,shap,1.0,5,42,3.156246365542336,20343.857748656967,142.63189597231388,0.0,0.0052791169998727,9.081200005311985e-05,0.005379486000038
Bike Sharing,ridge,mi,0.25,6,42,3.256644445734699,22228.78055809657,149.09319420448597,5.777263364000191,0.0010217990000001,8.526999999958207e-05,5.778384140000071
Bike Sharing,ridge,mi,0.5,6,42,3.266594554123637,19589.969562925115,139.96417242610738,5.777263364000191,0.0009128639999289,8.54209999943123e-05,5.778267530000221
Bike Sharing,ridge,mi,0.75,6,42,3.265897433451071,19542.42256862265,139.79421507566988,5.777263364000191,0.0011638769999535,9.71439999375434e-05,5.778537449000169
Bike Sharing,ridge,mi,1.0,6,42,3.2549600116941644,19385.95819459365,139.23346650354452,0.0,0.0125608440000632,0.0001162399998975,0.0126842059999034
Bike Sharing,ridge,rfe,0.25,6,42,3.366172488424537,20890.490452673326,144.53542974881046,0.1898907010001949,0.0010246640001696,8.712399994692532e-05,0.1910128790000271
Bike Sharing,ridge,rfe,0.5,6,42,3.268563870599668,19387.947420567594,139.24060981110213,0.1898907010001949,0.0201600590000907,0.0001291240000682,0.2101879400001962
Bike Sharing,ridge,rfe,0.75,6,42,3.2497135289944734,19341.33523807166,139.0731291014611,0.1898907010001949,0.0010901180000928,9.978899993257072e-05,0.1910908570002902
Bike Sharing,ridge,rfe,1.0,6,42,3.2549600116941644,19385.95819459365,139.23346650354452,0.0,0.0125608440000632,0.0001162399998975,0.0126842059999034
Bike Sharing,ridge,tree,0.25,6,42,3.391044522038573,23098.93208042113,151.98332829761668,5.710330097999986,0.0010155380000469,8.624300016890629e-05,5.711444872999891
Bike Sharing,ridge,tree,0.5,6,42,3.2892208197091164,19724.428281635388,140.4436836658573,5.710330097999986,0.0010962599999402,8.481000008941919e-05,5.711522970000033
Bike Sharing,ridge,tree,0.75,6,42,3.2579409393103966,19400.30479344798,139.28497691225706,5.710330097999986,0.0010453830000187,0.0075382810000519,5.718922169000052
Bike Sharing,ridge,tree,1.0,6,42,3.2549600116941644,19385.95819459365,139.23346650354452,0.0,0.0125608440000632,0.0001162399998975,0.0126842059999034
Bike Sharing,ridge,shap,0.25,6,42,3.4159175127243078,21082.086381922905,145.19671615406082,0.0218004760001804,0.0010371280000072,8.989899993139261e-05,0.0229393460001574
Bike Sharing,ridge,shap,0.5,6,42,3.258415709131204,19649.21879443035,140.17567119307955,0.0218004760001804,0.0046308519999911,0.0001277710000522,0.0265666230002352
Bike Sharing,ridge,shap,0.75,6,42,3.236450952790278,19657.545709208374,140.20536975882337,0.0218004760001804,0.0010594699999728,8.951900008469238e-05,0.0229572200003076
Bike Sharing,ridge,shap,1.0,6,42,3.2549600116941644,19385.95819459365,139.23346650354452,0.0,0.0125608440000632,0.0001162399998975,0.0126842059999034
Bike Sharing,ridge,mi,0.25,7,42,3.001309071979473,21510.62774636116,146.6650188230348,5.824839916999963,0.0010331210000913,8.87979999788513e-05,5.825974899999892
