dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate Claims Severity,extratrees,rfe,0.5,1,123,0.672509301644241,3980694.280633102,1995.167732455871,0.2573874149820767,123.88862898398656,0.7273933829856105,125.32517196499975
Allstate Claims Severity,extratrees,rfe,0.75,1,123,0.6658686283637197,3891949.7410910875,1961.487479194371,0.12732354852865127,188.58964638230256,1.217904568286413,189.93487449911763
Allstate Claims Severity,extratrees,rfe,1.0,1,123,0.6565771193061466,3862878.852624732,1965.4207825869585,0.0,261.20132663601544,1.625175487017259,263.21461022098083
Allstate Claims Severity,extratrees,rfe,0.25,2,123,0.7271275397723808,4260535.175643036,2064.1063867066146,0.2773037530132569,44.88470571895596,1.3871561959967948,47.12557207705686
Allstate Claims Severity,extratrees,rfe,0.5,2,123,0.7063741132897214,4169818.528198152,2042.013351620932,0.2773037530132569,105.70254082296742,1.6646740729920566,108.2449402580387
Allstate Claims Severity,extratrees,rfe,0.75,2,123,0.7057322150467421,3923236.567357977,2032.5290401214343,0.1263641124108491,180.04954271181944,1.772661221053055,181.94856804528334
Allstate Claims Severity,extratrees,rfe,1.0,2,123,0.6893023410760345,4059835.841740396,2014.903432361064,0.0,258.94574033102253,1.95484816696262,261.3539122049697
Allstate Claims Severity,extratrees,rfe,0.25,3,123,0.6789295810163104,4396013.907229812,2096.6673334675224,0.2580204459954984,45.27209980302723,0.9407528510200792,46.9688577229972
Allstate Claims Severity,extratrees,rfe,0.5,3,123,0.6473170944164542,3934732.119533173,1983.6159203669376,0.2580204459954984,113.35692177800227,1.3887180609744971,115.46147263003512
Allstate Claims Severity,extratrees,rfe,0.75,3,123,0.6207662411455261,3785951.784168706,1922.4337790487523,0.1298746243501494,185.60552040283798,1.2237466945997044,186.95914172178783
Allstate Claims Severity,extratrees,rfe,1.0,3,123,0.6258708407028535,3734609.285449241,1932.513721930388,0.0,261.2248081730213,1.0074584980029613,262.6654758959776
Allstate Claims Severity,extratrees,rfe,0.25,4,123,0.7087443571889211,5050385.938123662,2247.3063738893416,0.2525107840192504,50.44728299701819,1.5746302650077268,52.823521099984646
Allstate Claims Severity,extratrees,rfe,0.5,4,123,0.676255104808985,4645765.184897837,2155.403717380537,0.2525107840192504,112.41318851604592,0.8601983090047725,113.96465035201982
Allstate Claims Severity,extratrees,rfe,0.75,4,123,0.6749514833728827,4418101.145286061,2119.410158763684,0.12442429304662363,183.64051182952022,0.965365547946041,184.7303016705129
Allstate Claims Severity,extratrees,rfe,1.0,4,123,0.6679953130592575,4521916.061222567,2126.479734496091,0.0,260.1814421170275,1.0284674759604968,261.67008058703505
Allstate Claims Severity,extratrees,rfe,0.25,5,123,0.7003003812034685,4276035.64704036,2067.857743424426,0.2423608539975248,48.87014869402629,1.6365768060204573,51.35438774200156
Allstate Claims Severity,extratrees,rfe,0.5,5,123,0.6617009152913215,3980802.4625761295,1995.1948432612112,0.2423608539975248,113.88720312400255,1.913880796986632,116.56268421700224
Allstate Claims Severity,extratrees,rfe,0.75,5,123,0.6565236019400897,3851113.60384905,1957.0623545002356,0.12696090588663783,178.3853604844458,1.5513475710852866,180.06366896141773
Allstate Claims Severity,extratrees,rfe,1.0,5,123,0.6358439701996024,3797625.804174249,1948.7498054327675,0.0,253.99341500597075,1.169571503996849,255.63917413901072
Allstate Claims Severity,extratrees,rfe,0.25,1,256,0.6736129930784244,4742644.839651806,2177.761428543496,0.2299440900096669,48.79941542999586,1.4809712559799664,51.29824771999847
Allstate Claims Severity,extratrees,rfe,0.5,1,256,0.6511282432330722,4575251.005368203,2138.9836384059145,0.2299440900096669,111.0433815009892,1.5977150429971516,113.45697986899177
Allstate Claims Severity,extratrees,rfe,0.75,1,256,0.6302629808031898,4538314.546094891,2135.614285821974,0.10475864826608451,187.96364595582847,1.7918149401998154,189.86021954429438
Allstate Claims Severity,extratrees,rfe,1.0,1,256,0.6368092087446691,4427101.37130174,2104.06781528109,0.0,261.32048114197096,1.8680101570207623,263.7316956919967
Allstate Claims Severity,extratrees,rfe,0.25,2,256,0.6898635492232192,4464824.328462202,2113.01309235466,0.2504512049490586,48.62573996296851,1.6242445249808952,50.91268019395648
Allstate Claims Severity,extratrees,rfe,0.5,2,256,0.6474980166534824,3982685.2867398616,1995.666627154912,0.2504512049490586,114.17069015197922,1.7062635620241051,116.7045965809375
Allstate Claims Severity,extratrees,rfe,0.75,2,256,0.6422947850764387,3858028.8018913805,2050.182046575722,0.12276364008576943,180.57230958524133,1.573741169000956,182.26881439432805
Allstate Claims Severity,extratrees,rfe,1.0,2,256,0.6265396008247867,3832466.289997432,1957.6685853324184,0.0,258.8427482639672,1.651259773003403,260.96877246996155
Allstate Claims Severity,extratrees,rfe,0.25,3,256,0.7524589119366224,5052275.707798355,2247.726786733289,0.2925352079910226,42.2786995350034,1.4235224059666507,44.35712707700441
Allstate Claims Severity,extratrees,rfe,0.5,3,256,0.6769007823241717,4254575.365731253,2062.662203496068,0.2925352079910226,118.525391178031,1.6862278470071033,121.08696249400964
