dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Communities and Crime,ridge,mi,0.25,1363888592719.515,0.019404353683171525,1759535607522.957,294635746897.2075,0.1388872941261123,1.2513760178210214,0.0014045575412455521,0.0002196717786136698,1.2530244767328258
Communities and Crime,ridge,mi,0.5,1759816631406.2568,0.019050610808708103,2118204238759.1653,850249950989.6722,0.13772421564806103,1.1832195826387033,0.0016563842364120702,0.00014204533770677274,1.1850332427141257
Communities and Crime,ridge,mi,0.75,1633922018247.9365,0.01894737321643984,1990743650377.9631,1038082924689.4911,0.13725527222177536,1.2513760178210214,0.09602622766629787,0.00018426858354354402,1.3476017478993163
Communities and Crime,ridge,mi,1.0,1993263284799.495,0.018591323590276702,2129085549594.5393,1196558656699.7969,0.1361797249010291,0.0,0.09941027010558169,0.00024516407749610965,0.09966900106170211
Communities and Crime,ridge,rfe,0.25,1344505182610.8542,0.01914868848728379,1811936007277.4346,372169327314.5746,0.13798366487911629,3.182934672062984,0.001179838199168392,0.00011269179987718625,3.184238675138913
Communities and Crime,ridge,rfe,0.5,1954098056051.512,0.018711768291318088,2096687563338.9658,1355118533246.0508,0.1365814413085349,2.9183503463619855,0.002113098343834234,0.00014622605754990086,2.9206286144198383
Communities and Crime,ridge,rfe,0.75,2005366837885.9841,0.01864380250766524,2235823558042.666,1020530158892.661,0.13618489507131146,3.182934672062984,0.09635261481977064,0.00018644519848744212,3.2794900076230986
Communities and Crime,ridge,rfe,1.0,1993263284799.495,0.018591323590276702,2129085549594.5393,1196558656699.7969,0.1361797249010291,0.0,0.09941027010558169,0.00024516407749610965,0.09966900106170211
Communities and Crime,ridge,shap,0.25,1536584614554.0928,0.020154238605673606,2002716333341.557,405147460728.4765,0.14157611951305157,0.024122543202247427,0.001393224535277068,0.00011328997672532392,0.025643815018702255
Communities and Crime,ridge,shap,0.5,1581841020792.0815,0.019336076322720715,1765808883567.518,978843276135.2571,0.13881326382028397,0.02225876626092936,0.001722059060120908,0.00020331577863540322,0.024202285204082675
