dataset,model,strategy,k_pct,fold,repeat_seed,rmse,mae,mape,mse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.05,4,42,2154.6092615748585,1398.3831017037053,0.8923258074344071,4642341.070064157,125.91651928302599,7.177325510012452,0.04202974998042919,133.13587454301887
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.1,4,42,1994.2631379318252,1299.1070729927058,0.8441075656525421,3977085.4633136904,135.98926567099988,8.023236652981723,0.06714019199716859,144.07964251597878
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.15,4,42,1898.9096647499998,1209.1756316884573,0.7380928491132596,3605857.914880957,116.67677124700276,6.682445287005976,0.05554807101725601,123.414764605026
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.25,4,42,1902.648417417203,1213.7563787305082,0.7533409539643279,3620071.0003001876,141.74222910299432,6.866053581004962,0.11149008601205423,148.71977277001133
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.5,4,42,1879.8435895235832,1195.165698807424,0.7321572287890641,3533811.92107291,184.09531959099695,9.064006153988885,0.30205418399418704,193.46137992898002
Allstate,xgboost,native_fi,0.05,8,42,2185.2530629389594,1432.4316056703165,0.7998257970711438,4775330.949084103,1.4929973985999823e-06,7.865086217003409,0.04442235198803246,7.90951006198884
Allstate,xgboost,native_fi,0.1,8,42,2019.4802768224365,1322.3481909265251,0.7292004021810371,4078300.5884748246,1.4429970178753138e-06,7.797397071990417,0.06435925301047973,7.861757767997915
Allstate,xgboost,native_fi,0.15,8,42,1928.9094691480561,1241.2702310909247,0.6466583874097955,3720691.7401690357,1.4420074876397848e-06,7.924231537006563,0.09011935300077312,8.014352332014823
Allstate,xgboost,native_fi,0.25,8,42,1897.3271735328815,1209.3891488561896,0.620424015082707,3599850.403426273,1.6429985407739878e-06,8.145152230979875,0.14337564300512895,8.288529516983544
Allstate,xgboost,native_fi,0.5,8,42,1883.6967545414404,1188.9777595251662,0.6036809857151929,3548313.4630699554,1.794018317013979e-06,9.040038243023446,0.297824484994635,9.337864522036398
Allstate,xgboost,baseline,1.0,8,42,1885.6057208172758,1188.9520183862055,0.6037885657530487,3555508.9343788386,2.61500827036798e-06,8.731864061002852,0.4781168359913863,9.209983512002509
Allstate,xgboost,custom_shap_rfe,0.05,7,42,2381.5574774489955,1417.2400788857358,0.7081411867037289,5671816.018393223,3.447500057518482e-05,7.6339494659914635,0.04990947901387699,7.683893420005916
Allstate,xgboost,custom_shap_rfe,0.1,7,42,2158.5207411151746,1319.2125932805943,0.6575043433526773,4659211.789824402,1.1682015610858798e-05,7.8112198549788445,0.07952538400422782,7.890756920998683
Allstate,xgboost,custom_shap_rfe,0.15,7,42,2012.593782964674,1227.174361277461,0.6053498123023306,4050533.7352280566,1.0519986972212791e-05,8.449296817008872,0.09370358599699102,8.543010922992835
Allstate,xgboost,custom_shap_rfe,0.25,7,42,1998.0299901305343,1215.2030977444579,0.5978825900940938,3992123.841461023,1.0640011169016361e-05,8.704648284998257,0.14647263698861934,8.851131561998045
Allstate,xgboost,custom_shap_rfe,0.5,7,42,1989.5934438719853,1206.3381614232612,0.5932712112953028,3958482.071898387,9.659008355811238e-06,9.530666917009512,0.33228128097834997,9.862957856996218
Allstate,xgboost,native_fi,0.05,9,42,2182.721179306129,1429.8606945918111,0.7861396118724703,4764271.74659154,1.2119999155402184e-06,8.055921367020346,0.042005238006822765,8.097927817027085
Allstate,xgboost,native_fi,0.1,9,42,2076.603266278317,1323.974249084839,0.7125027088281207,4312281.125517773,1.3129902072250843e-06,8.239166743995156,0.0662182469968684,8.305386303982232
Allstate,xgboost,native_fi,0.15,9,42,1991.4027533206913,1265.0466456198285,0.6583405529547882,3965684.92593323,1.4729739632457495e-06,8.19717556599062,0.09408566998899914,8.291262708953582
